ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
119803,246,Moses Austin,State of Texas,29.42483,-98.49541,100 Military Plaza,San Antonio,Bexar County,
119804,,Sam Houston,Grand Lodge of Texas,30.66114,-95.51061,,Huntsville,Walker County,
119807,7782,Commerce Post Office,Texas Historical Commission,33.25030,-95.89805,1210 Park Street,Commerce,Hunt County,
119808,7788,First Baptist Church of Commerce,Texas Historical Commission,33.24901,-95.90061,1401 Washington Street,Commerce,Hunt County,
119810,7781,Site of Commerce Churches,Texas Historical Commission,33.24823,-95.90275,1501 Monroe Street,Commerce,Hunt County,
119812,7783,Site of Early Commerce Schools,Texas Historical Commission,33.24625,-95.89709,1600 Church Street,Commerce,Hunt County,
119816,15513,R.C. (Dick) Ware,State Historical Survey Committee,32.39314,-100.84066,,Colorado City,Mitchell County,
119817,971,Colorado City Standpipe,Texas Historical Commission,32.38295,-100.83862,,Colorado City,Mitchell County,
119833,8019,Brown Building,State Historical Survey Committee.,32.75643,-94.34540,112 North Vale Street,Jefferson,Marion County,
119834,13696,Immaculate Conception Catholic Church,Texas Historical Commission,32.75698,-94.34623,201 North Vale Street,Jefferson,Marion County,
119835,8018,The Brooks House,State Historical Survey Committee.,32.75737,-94.34640,208 North Vale Street,Jefferson,Marion County,
119841,8098,Torrans-Clopton-Spellings House,Texas Historical Commission,32.76036,-94.34696,107 East Clarksville Street,Jefferson,Marion County,
119844,13788,Iron Bluff Cemetery,Texas Historical Commission,32.93857,-94.71109,East Industrial Boulevard,Lone Star,Morris County,
119849,18938,Astrodome,Texas Historical Commission,29.68448,-95.40916,3 NRG Parkway,Houston,Harris County,
119850,10797,Trinity Episcopal Church,Texas Historical Commission,29.73988,-95.37824,1015 Holman Street,Houston,Harris County,
119852,10773,San Jacinto High School,Texas Historical Commission,29.73776,-95.37630,1300 Holman Street,Houston,Harris County,
119855,14339,Temple Beth Israel,Texas Historical Commission,29.73734,-95.37518,3517 Austin Street,Houston,Harris County,
119856,7805,Hunt County,Texas Highway Department,33.13922,-96.10701,2507 Lee St,Greenville,Hunt County,
119857,12912,First Evangelical Church,Texas Historical Commission,29.73829,-95.37563,1311 Holman Street,Houston,Harris County,
119858,10696,The Houston Light Guard,Texas Historical Commission,29.73591,-95.37795,3816 Caroline Street,Houston,Harris County,
119860,10697,Houston Light Guard Armory,Texas Historical Commission,29.73605,-95.37807,3816 Caroline Street,Houston,Harris County,
119862,10635,Site of Confederate Prison Compound,State Historical Survey Committee,29.76671,-95.35967,150 Girard Street,Houston,Harris County,
119873,18204,First Baptist Church Georgetown,Texas Historical Commission,30.63238,-97.70752,1333 W Unitversity Ave,Georgetown,Williamson County,
119879,13925,Evangelical Free Church,Texas Historical Commission,30.63359,-97.66274,1322 East University Avenue,Georgetown,Williamson County,Confirmed Missing
119898,,The Hugman Dam,,29.43181,-98.48793,110 Lexington Avenue,San Antonio,Bexar County,
119943,146,"Amarillo Natatorium (""The Nat"")",Texas Historical Commission,35.21110,-101.86676,2705 SW 6th Avenue,Amarillo,Potter County,
119967,16354,Harris County 1910 Courthouse,Texas Historical Commission,29.76137,-95.35998,301 Fannin Street,Houston,Harris County,
119970,10639,De Zavala Plaza,State Historical Survey Committee,29.75358,-95.08986,3523 Independence Parkway,La Porte,Harris County,
