ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
17932,128145,,William B. Fleming,Texas Historical Commission,29.5117,-97.69683,,Belmont,Gonzales County
6172,170546,,William B. Largent House,Texas Historical Commission,33.19648,-96.62293,,McKinney,Collin County
6761,151443,,William B. Lipscomb Elementary School,Texas Historical Commission,32.80697,-96.75681,5801 Worth Street,Dallas,Dallas County
9135,117182,,William Barret Travis,State Historical Survey Committee,29.75559,-94.68789,1704 South Main Street,Anahuac,Chambers County
10865,234357,,William Becknell,State of Texas,33.62814,-95.1692,,Detroit,Red River County
17151,160379,,William Becknell,Texas Historical Commission,33.6293,-95.16919,,Detroit,Red River County
11100,128590,,William Blewett,Texas Historical Commission,30.84847,-93.76071,113 Court Street,Newton,Newton County
15126,168016,,William C. Crane,State of Texas,30.26535,-97.72741,909 Navasota Street,Austin,Travis County
10981,268847,,William C. Davis,Texas Historical Commission,32.10783,-94.82816,,Henderson,Rusk County
10785,129971,,William C. Swearingen,the State of Texas,29.75724,-95.37949,1217 West Dallas Street,Houston,Harris County
11197,286851,,William Calvert Hallmark,State of Texas,31.21148,-95.56463,654 Co Rd 3385,Crockett,Houston County
16892,201901,,William Cameron Park,Texas Historical Commission,31.57121,-97.14254,,Waco,McLennan County
5822,118268,,William Carey Crane,State Historical Survey Committee,31.39685,-102.35199,201 West 6th Street,Crane,Crane County
7915,207411,,William Cartwright,State of Texas,30.34385,-95.63548,18221 Rabon Chapel Road,Montgomery,Montgomery County
5823,162729,,William Carvin Winters,State of Texas,29.06255,-98.89198,,Bigfoot,Frio County
8023,180157,,William Clark Residence,Texas Historical Commission,32.75756,-94.34701,,Jefferson,Marion County
9264,171251,,"William Clark, Jr.",the State of Texas,31.60334,-94.64899,,Nacogdoches,Nacogdoches County
6213,170538,,William Clinton and Anna Belle Thompson House,Texas Historical Commission,33.19709,-96.62732,,McKinney,Collin County
15002,25554,,William Cornelius Dalrymple,Texas Historical Commission,30.62475,-97.67609,200 E 20th St.,Georgetown,Williamson County
10652,129916,,William Daniel Durham,the State of Texas,29.75715,-95.37916,1217 West Dallas Street,Houston,Harris County
12569,244038,,William Demetris Lacey,Texas Historical Commission,29.702,-96.54253,635 Houston Street,Columbus,Colorado County
18224,182940,,William DeRyee,Texas Historical Commission,27.80102,-97.39977,1150 Ramirez Street,Corpus Christi,Nueces County
9176,195937,,William Dunbar,State of Texas,30.11553,-97.30628,1307 State Hwy 95,Bastrop,Bastrop County
15059,167157,,William E. Collard,State of Texas,30.26539,-97.72743,909 Navasota Street,Austin,Travis County
5824,212002,,William E. Madderra Home,Texas Historical Commission,28.40646,-97.74712,401 N Adams St,Beeville,Bee County
5825,151696,,William E. Schott,Texas Historical Commission,34.46854,-101.11734,,Silverton,Briscoe County
5826,168849,,William Edmunds Bates,State Historical Survey Committee,33.22111,-96.97584,4725 FM 720 West,Aubrey,Denton County
12622,240835,,William Edward Russell,Texas Historical Commission,30.30839,-104.03922,,Marfa,Presidio County
7920,219493,,"William Elbert ""Buck"" Mayes",Texas Historical Commission,31.32193,-95.46118,,Crockett,Houston County
14533,221464,,William F. and Bertha Sutor Goodrich House,Texas Historical Commission,31.34345,-93.8488,110 Market Street,Hemphill,Sabine County
17554,186069,,William Freeman,Texas Historical Commission,31.7708,-95.61512,1210 Moody Street,Palestine,Anderson County
22767,239908,,"William G. ""Bill"" Hall",Texas Historical Commission,30.08049,-94.09562,888 Pearl Street,Beaumont,Jefferson County
16526,78017,,William G. and Shirley Swenson Home,Texas Historical Commission,32.46956,-99.74103,1726 Swenson St,Abilene,Taylor County
14114,224810,,William G. Newby Memorial Building,State Historical Survey Committee,32.73862,-97.3399,1316 Pennsylvania Avenue,Fort Worth,Tarrant County
15757,122985,,William Gammell,Texas Historical Commission,29.76635,-95.38875,2911 Washington Avenue,Houston,Harris County
10668,129951,,William Gammell,the State of Texas,29.75741,-95.37895,1217 West Dallas Street,Houston,Harris County
13173,5800,,William H. Dodd,Texas Historical Commission,29.8085,-101.55962,,Langtry,Val Verde County
11421,244626,,William H. Humphries Home,Texas Historical Commission,32.69642,-95.88654,201 S. Main Street,Edgewood,Van Zandt County
18125,151367,,William H. Watson,Texas Historical Commission,30.154,-96.3883,,Brenham,Washington County
9663,195713,,William Hardin,State of Texas,30.10126,-94.76613,,Liberty,Liberty County
9614,172703,,William Harris Wharton,State of Texas,29.02179,-95.41782,,Clute,Brazoria County
11791,139325,,William Harrison Pitts,Texas Historical Commission,32.99725,-94.97006,220 Quitman Street,Pittsburg,Camp County
