OsmNodeID,thc:Latitude,thc:Longitude,abandoned:historic,abandoned:memorial,access,addr:city,addr:country,addr:county,addr:full,addr:state,alt_name,check_date,colour,contact:facebook,date,description,designation,direction,ele,flickr,gnis:feature_id,heritage,heritage:operator,historic,image,image:creator,inscription,inscription:url,mapillary,material,memorial,memorial:website,name,name:en,name:es,name:etymology:wikidata,name:pt,name:sr,name:ur,name:zh,note,official_name,openplaques:id,operator,operator:es,operator:wikidata,panoramax,ref:US-TX:thc,ref:hmdb,short_name,source:url,source:website,source_ref,start_date,subject:wikidata,subject:wikimedia_commons,subject:wikipedia,support,thc:designation,thc:inscription_date,website,wikidata,wikimedia_commons,wikipedia,year
5223277475,26.134788,-97.6274836,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,First Presbyterian Church of San Benito,,Primera Iglesia Presbiteriana de San Benito,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,1847,,,,https://atlas.thc.texas.gov/Details/5061001847,,1986,,,,,Recorded Texas Historic Landmark,,,,,,
5223277484,25.9093565,-97.5071511,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,First Presbyterian Church of Brownsville,,,,,,,,,,,Texas Historical Commission,,Q2397965,,1830,,,,https://atlas.thc.texas.gov/Details/5061001830,,1993,,,,,Recorded Texas Historic Landmark,,,,,,
5223279009,26.1907996,-97.6924534,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,First United Methodist Church of Harlingen,,Primera Iglesia Metodista Unida de Harlingen,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,16445,,,,https://atlas.thc.texas.gov/Details/5507016445,,2010,,,,,Historical Marker,,,,,,
5223298104,25.8984729,-97.4924918,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Commissary-Guard House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,15294,,,,https://atlas.thc.texas.gov/Details/5507015294,,1965,,,,,Recorded Texas Historic Landmark,,,,,,
5223298105,25.8995962,-97.4946304,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Fort Brown,,,,,,,,,,,Texas Historical Commission,,Q2397965,,1963,,,,https://atlas.thc.texas.gov/Details/5061001963,,1936,,,,,Historical Marker,,,,,,
5224690068,26.0775324,-97.2076522,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=156334,Fort Polk,,,,,,,,,,,Texas Historical Commission,,Q2397965,,4796,156334,,,https://atlas.thc.texas.gov/Details/5061004796,,1994,,,,,Historical Marker,,,,,,
5224700297,25.899948,-97.4977121,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,The Gem,,,,,,,,,,,Texas Historical Commission,,Q2397965,,5344,,,,https://atlas.thc.texas.gov/Details/5061005344,,1991,,,,,Recorded Texas Historic Landmark,,,,,,
5224709870,26.1349952,-97.6365419,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=166267,Getsemani Presbyterian Church,,,,,,,,,,,Texas Historical Commission,,Q2397965,,16022,166267,,,https://atlas.thc.texas.gov/Details/5507016022,,2009,,,,,Historical Marker,,,,,,
5224710293,25.9055569,-97.4989045,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Site of Old Grammar School,,,,,,,,,,,Texas Historical Commission,,Q2397965,,4851,,,,https://atlas.thc.texas.gov/Details/5061004851,,1984,,,,,Historical Marker,,,,,,
5224736069,26.1894903,-97.6951611,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Harlingen,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2380,,,,https://atlas.thc.texas.gov/Details/5061002380,,1969,,,,,Historical Marker,,,,,,
5224738811,26.2169095,-97.667183,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Harlingen Army Airfield and Harlingen Air Force Base,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12951,,,,https://atlas.thc.texas.gov/Details/5061012951,,2004,,,,,Historical Marker,,,,,,
5224746781,26.17931,-97.7014992,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Harlingen Cemetery,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2381,,,,https://atlas.thc.texas.gov/Details/5061002381,,1997,,,,,Historical Marker,,,,,,
5224783461,25.9185527,-97.5155175,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Hicks-Gregg House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,14016,,,,https://atlas.thc.texas.gov/Details/5507014016,,2007,,,,,Recorded Texas Historic Landmark,,,,,,
5224791900,26.1874781,-97.6884127,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Howard E. and Mary Butt House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12785,,,,https://atlas.thc.texas.gov/Details/5061012785,,2000,,,,,Recorded Texas Historic Landmark,,,,,,
5224801280,25.9025787,-97.4961329,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=117955,Immaculate Conception Cathedral,,Catedral de la Inmaculada Concepción,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,2617,117955,,,https://atlas.thc.texas.gov/Details/5061002617,,1962,,,,,Recorded Texas Historic Landmark,,,,,,
5224803864,25.9057782,-97.5030264,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Kowalski-Dennett Home,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2976,,,,https://atlas.thc.texas.gov/Details/5061002976,,1966,,,,,Recorded Texas Historic Landmark,,,,,,
5224819927,26.1606785,-97.8404765,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=166225,La Feria Cemetery,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2994,166225,,,https://atlas.thc.texas.gov/Details/5061002994,,1990,,,,,Historical Marker,,,,,,
5224819928,26.1592828,-97.8227565,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=166262,Town of La Feria,,Pueblo de La Feria,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,2993,166262,,,https://atlas.thc.texas.gov/Details/5061002993,,1971,,,,,Historical Marker,,,,,,
5224822627,25.9047739,-97.4968186,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=117995,La Madrilena,,,,,,,,,,,Texas Historical Commission,,Q2397965,,3000,117995,,,https://atlas.thc.texas.gov/Details/5061003000,,1988,,,,,Recorded Texas Historic Landmark,,,,,,
5235884834,32.6457611,-95.4175063,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,New Hope Cemetery,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13749,,,,https://atlas.thc.texas.gov/Details/5507013749,,2002,,,,,,,,,,,
5243564802,32.6691814,-95.3234374,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Macedonia School,,,,,,,,,,,Texas Historical Commission,,Q2397965,,8977,,,,https://atlas.thc.texas.gov/Details/5499008977,,1969,,,,,,,,,,,
