ref:hmdb,ref:US-TX:thc,name,Subtitle,Add'l Subtitle,memorial:website,year,,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,Section or Quarter,addr:county,addr:state,Marker Notes,isMissing,,First Published,Last Update
193564,117,Alice,,,https://www.hmdb.org/m.asp?m=193564,1988,,Texas Historical Commission,27.75224,-98.07231,401 East 2nd Street,Alice,,Jim Wells County,Texas,"It is at the intersection of East 2nd Street and North Adams Street, on the right when traveling west on East 2nd Street. ",,,3/14/2022,2/7/2025
203361,118,Alico Building,,,https://www.hmdb.org/m.asp?m=203361,1982,,Texas Historical Commission,31.55692,-97.1319,425 Austin Avenue,Waco,,McLennan County,Texas,"It is at the intersection of Austin Avenue and North 5th Street, on the right when traveling west on Austin Avenue. ",,,8/8/2022,8/8/2022
120154,119,All Saints' Church,,,https://www.hmdb.org/m.asp?m=120154,1968,,State Historical Survey Committee,32.38958,-100.86308,,Colorado City,,Mitchell County,Texas,"It is at the intersection of Locust Street and East 3rd Street, on the right when traveling north on Locust Street. ",,,7/15/2018,7/15/2018
194794,120,Alla School,,,https://www.hmdb.org/m.asp?m=194794,1983,,Texas Historical Commission,33.36814,-96.764,3455 North Preston Road,Celina,,Collin County,Texas,"It is on County Highway 105 0.1 miles east of North Preston Road (U.S. 289), on the right when traveling east. ",,,4/3/2022,4/3/2022
43407,123,Allen Cemetery,,,https://www.hmdb.org/m.asp?m=43407,1988,,Texas Historical Commission,33.10047,-96.66558,312 E. McDermott Dr.,Allen,,Collin County,Texas,It is on E. McDermott Drive. ,,,6/23/2011,5/17/2020
217730,124,Allen Chapel A.M.E. Church,,,https://www.hmdb.org/m.asp?m=217730,1983,,Texas Historical Commission,32.75912,-97.32747,116 Elm Street,Fort Worth,Sundance Square,Tarrant County,Texas,"It is at the intersection of Elm Street and East 1st Street, on the right when traveling south on Elm Street. ",,,3/8/2023,5/10/2024
217732,125,Allen Chapel African Methodist Episcopal Church,,,https://www.hmdb.org/m.asp?m=217732,1982,,Texas Historical Commission,32.759,-97.32743,116 Elm Street,Fort Worth,Sundance Square,Tarrant County,Texas,It is on Elm Street near East 1st Street. ,,,3/8/2023,3/8/2023
208764,126,Allen House,,,https://www.hmdb.org/m.asp?m=208764,1991,,Texas Historical Commission,31.30889,-96.8981,305 Ward Street,Marlin,,Falls County,Texas,"It is at the intersection of Ward Street and Church Street, on the left when traveling north on Ward Street. ",,,10/28/2022,10/28/2022
220378,127,The Allen Station of the Texas Electric Railway,,,https://www.hmdb.org/m.asp?m=220378,1986,,Texas Historical Commission,33.10259,-96.67093,105 Butler Drive,Allen,,Collin County,Texas,"It is on Butler Drive 0.1 miles north of West Belmont Drive, on the right when traveling north. ",,,4/15/2023,5/4/2024
143994,129,Alleyton,,,https://www.hmdb.org/m.asp?m=143994,1936,,the State of Texas,29.70666,-96.48653,,Alleyton,,Colorado County,Texas,"It is at the intersection of Alleyton Road (County Road 268) and Center Street, on the right when traveling east on Alleyton Road. ",,,12/31/2019,12/31/2019
36906,130,Alleyton C.S.A.,,,https://www.hmdb.org/m.asp?m=36906,1963,,the State of Texas,29.70989,-96.48119,,Alleyton,,Colorado County,Texas,"It is at the intersection of Farm to Market Road 102 and Alleytown Road (County Road 268), on the right when traveling north on Road 102. ",,,10/14/2010,12/31/2019
79054,131,Alsatians of Texas,,,https://www.hmdb.org/m.asp?m=79054,1985,,Texas Historical Commission,29.35626,-98.87904,,Castroville,,Medina County,Texas,"It is at the intersection of Angelo Street and Paris Street, on the right when traveling north on Angelo Street. ",,,11/24/2014,11/24/2014
269545,132,Alta Vista Apartments,,,https://www.hmdb.org/m.asp?m=269545,1988,,Texas Historical Commission,26.07781,-97.21416,702 West Polk Street,Port Isabel,,Cameron County,Texas,"It is at the intersection of West Polk Street and Gomez Street, on the right when traveling west on West Polk Street. ",,,4/5/2025,4/5/2025
211217,133,Site of Alta Vista Hotel,,,https://www.hmdb.org/m.asp?m=211217,1985,,TExas Historical Commission,27.76035,-97.37931,108 Alta Plaza,Corpus Christi,,Nueces County,Texas,It is on Alta Plaza. ,,,12/6/2022,12/6/2022
235074,134,Altgelt-Isbell House,,,https://www.hmdb.org/m.asp?m=235074,1962,,Texas Historical Survey Commission,29.41561,-98.49202,226 King William St,San Antonio,Arsenal,Bexar County,Texas,"It is on King William Street north of Beauregard Street, on the right when traveling north. ",,,10/29/2023,10/29/2023
